comment_text,confidence_score,id,predicted_label,published_at,source
عطنا رابطهم لاهنت,,421,,2024-07-31 20:13:31+00:00,
لارابط ولا اسم ولا صورة ولاشيء,,420,,2024-07-31 23:21:36+00:00,
64B2214DCCGCR,,419,,2024-08-01 22:18:19+00:00,
64B2214DCCGCR,,418,,2024-08-01 22:20:27+00:00,
كودي 6D5A0497DEGCR شغال 100% برق جربته أنا وا لعبت العبه جبت 27ريال 🤍,,417,,2024-08-01 23:19:05+00:00,
CF00EFD9C2GCR  كودي اللي يبي يلعب معي ويكسب,,416,,2024-08-02 02:32:16+00:00,
كودي <br>D89FCB27C9GCR<br>اللهم ارزقني وارزق مني,,415,,2024-08-03 05:34:56+00:00,
كم المده وتوصل,,473,,2024-08-10 01:46:40+00:00,
اخوي شاركت الكود لا اكثر من شخصين ولا جتني محاولة وشهو الحل ؟,,472,,2024-08-10 20:13:28+00:00,
كودي في برق 1394742EA7GCR,,471,,2024-08-10 23:47:24+00:00,
أنا عندي 11.30 ريال في العبه كيف حوله في المحفظه  كمان عندي بطاقة رصيدي حالي 0,,470,,2024-08-12 07:49:20+00:00,
البطاقة البلاستيكية جربتها عبر نقاط البيع تم رفضها واضفتها في محفظة مدى باي تم رفضها ويش المشكلة تتوقعون رغم تم تنشيطها,,469,,2024-08-12 14:03:43+00:00,
يا هلا! ✨<br><br>مليييووون ريال في مركز الألعاب في برق ⚡️⚡️<br><br>العب باستخدام (دعوتي) عشان يجيك تجربة لعب مجانية ومكافآت توصل لمليووون ريال 💸.<br><br>سجّل والعب الحين! <br>رمز الدعوة - 4F9B66B359GCR <br><br>🚀 🚀 🚀,,414,,2024-08-13 14:29:45+00:00,
طيب كيف اعرف اذا البطاقة جايتني,,468,,2024-08-15 16:41:55+00:00,
مش راضي يطلب بطاقه بيقولي الخدمه غير متوفره,,467,,2024-08-16 03:02:15+00:00,
يا هلا! ✨<br><br>مليييووون ريال في مركز الألعاب في برق ⚡️⚡️<br><br>العب باستخدام (دعوتي) عشان يجيك تجربة لعب مجانية ومكافآت توصل لمليووون ريال 💸.<br> <br>سجّل والعب الحين! <br> رمز الدعوة - 9CB9485497GCR <br><br>🚀 🚀 🚀,,413,,2024-08-16 18:28:07+00:00,
"‏5 ,محاولات ادا ما جت كلمني.  C4AC76AF92GCR",,412,,2024-08-18 00:09:33+00:00,
هل هي بفلوس ولا ؟,,466,,2024-08-18 15:25:08+00:00,
اخوي كيف اعرف بتوصلني لاني قربت سفرتي وصار ٤ ايام طلبتها للبيت,,465,,2024-08-19 02:46:18+00:00,
D7A858686AGCR,,464,,2024-08-22 07:43:08+00:00,
اقدر اشتري من اي مكان واعبي من اي محطة؟؟,,660,,2024-08-22 11:49:22+00:00,
بقدر اعملها في الجزائر,,659,,2024-08-22 12:06:47+00:00,
07AF005ACAGCR,,463,,2024-08-22 12:58:01+00:00,
07AF005ACAGCR,,658,,2024-08-22 12:59:03+00:00,
طيب الله يعافيك كيف افعل بطاقة,,657,,2024-08-23 13:45:31+00:00,
طيب تجيني مكالمه إذا وصلت ؟,,462,,2024-08-24 09:08:02+00:00,
البطاقه بفلوس تطلبه ؟,,656,,2024-08-25 08:22:27+00:00,
لي 5 ايام طالبها م جات فيه احد جاته ؟,,461,,2024-08-25 16:44:58+00:00,
ياخي خايف من التطبيق ذا مضمون ؟,,655,,2024-08-25 23:57:29+00:00,
السلام عليكم ، جاني اتصال منهم عشان التاكد بس يتكلمون انجليزي و مدري وش قاعدين يقولون,,654,,2024-08-27 07:36:48+00:00,
هل يستخدم في سلطنه عمان ولا السعوديه بس,,653,,2024-08-27 10:18:47+00:00,
AE3642BC14GCR :دعوة صديق,,652,,2024-08-27 15:26:09+00:00,
ردت اسجل بي مايصير بل عراق عله رقمنه ليش,,651,,2024-08-27 18:17:51+00:00,
هل التطبيق موجود على الاندرويد,,650,,2024-08-28 01:05:13+00:00,
ياغالي عندي سؤال لو سمحت هل اقدر ان افعلها وانا في الامارات ؟,,460,,2024-08-28 08:49:19+00:00,
اذا اقامتي منتهية اقدر؟,,649,,2024-08-28 20:56:49+00:00,
كاعد ادخل رقمي يكلي الرقم غير صحيح ؟؟؟ عراقي ؟؟,,648,,2024-08-29 13:07:00+00:00,
