comment,intent,source,confidence,latency_ms,cost_usd,stage
عطنا رابطهم لاهنت,Question,gpt-4o-mini,0.95,4556.61,2.5e-05,training
لارابط ولا اسم ولا صورة ولاشيء,Complaint,gpt-4o-mini,0.95,1872.62,2.5e-05,training
64b2214dccgcr,Statement,gpt-4o-mini,0.95,1771.2,2.7e-05,training
كودي 6d5a0497degcr شغال 100% برق جربته أنا وا لعبت العبه جبت 27ريال 🤍,Statement,gpt-4o-mini,0.95,1479.43,2.9e-05,training
cf00efd9c2gcr  كودي اللي يبي يلعب معي ويكسب,Statement,gpt-4o-mini,0.95,955.27,2.7e-05,training
كودي <br>d89fcb27c9gcr<br>اللهم ارزقني وارزق مني,Statement,gpt-4o-mini,0.95,878.82,2.7e-05,training
كم المده وتوصل,Question,gpt-4o-mini,0.95,926.89,2.5e-05,training
اخوي شاركت الكود لا اكثر من شخصين ولا جتني محاولة وشهو الحل ؟,Question,gpt-4o-mini,0.95,892.11,2.7e-05,training
كودي في برق 1394742ea7gcr,Statement,gpt-4o-mini,0.95,1054.68,2.6e-05,training
أنا عندي 11.30 ريال في العبه كيف حوله في المحفظه  كمان عندي بطاقة رصيدي حالي 0,Question,gpt-4o-mini,0.95,1826.2,2.8e-05,training
البطاقة البلاستيكية جربتها عبر نقاط البيع تم رفضها واضفتها في محفظة مدى باي تم رفضها ويش المشكلة تتوقعون رغم تم تنشيطها,Question,gpt-4o-mini,0.95,1458.67,3e-05,training
يا هلا! ✨<br><br>مليييووون ريال في مركز الألعاب في برق ⚡️⚡️<br><br>العب باستخدام (دعوتي) عشان يجيك تجربة لعب مجانية ومكافآت توصل لمليووون ريال 💸.<br><br>سجّل والعب الحين! <br>رمز الدعوة - 4f9b66b359gcr <br><br>🚀 🚀 🚀,Statement,gpt-4o-mini,0.95,681.94,4.2e-05,training
طيب كيف اعرف اذا البطاقة جايتني,Question,gpt-4o-mini,0.95,621.64,2.5e-05,training
مش راضي يطلب بطاقه بيقولي الخدمه غير متوفره,Complaint,gpt-4o-mini,0.95,1023.17,2.7e-05,training
يا هلا! ✨<br><br>مليييووون ريال في مركز الألعاب في برق ⚡️⚡️<br><br>العب باستخدام (دعوتي) عشان يجيك تجربة لعب مجانية ومكافآت توصل لمليووون ريال 💸.<br> <br>سجّل والعب الحين! <br> رمز الدعوة - 9cb9485497gcr <br><br>🚀 🚀 🚀,Statement,gpt-4o-mini,0.95,1150.0,4.2e-05,training
"‏5 ,محاولات ادا ما جت كلمني.  c4ac76af92gcr",Statement,gpt-4o-mini,0.95,996.67,2.7e-05,training
هل هي بفلوس ولا ؟,Question,gpt-4o-mini,0.95,791.21,2.5e-05,training
اخوي كيف اعرف بتوصلني لاني قربت سفرتي وصار ٤ ايام طلبتها للبيت,Question,gpt-4o-mini,0.95,985.09,2.8e-05,training
d7a858686agcr,Statement,gpt-4o-mini,0.95,1002.9,2.7e-05,training
اقدر اشتري من اي مكان واعبي من اي محطة؟؟,Question,gpt-4o-mini,0.95,2850.71,2.6e-05,training
بقدر اعملها في الجزائر,Question,gpt-4o-mini,0.95,1360.85,2.5e-05,training
07af005acagcr,Statement,gpt-4o-mini,0.95,953.35,2.7e-05,training
طيب الله يعافيك كيف افعل بطاقة,Question,gpt-4o-mini,0.95,1253.55,2.5e-05,training
طيب تجيني مكالمه إذا وصلت ؟,Question,gpt-4o-mini,0.95,771.46,2.5e-05,training
البطاقه بفلوس تطلبه ؟,Question,gpt-4o-mini,0.95,1773.84,2.5e-05,training
لي 5 ايام طالبها م جات فيه احد جاته ؟,Question,gpt-4o-mini,0.95,771.72,2.6e-05,training
ياخي خايف من التطبيق ذا مضمون ؟,Question,gpt-4o-mini,0.95,874.48,2.5e-05,training
السلام عليكم ، جاني اتصال منهم عشان التاكد بس يتكلمون انجليزي و مدري وش قاعدين يقولون,Question,gpt-4o-mini,0.95,979.0,2.8e-05,training
هل يستخدم في سلطنه عمان ولا السعوديه بس,Question,gpt-4o-mini,0.95,818.59,2.5e-05,training
ae3642bc14gcr :دعوة صديق,Statement,gpt-4o-mini,0.95,1076.35,2.6e-05,training
ردت اسجل بي مايصير بل عراق عله رقمنه ليش,Question,gpt-4o-mini,0.95,708.92,2.6e-05,training
هل التطبيق موجود على الاندرويد,Question,gpt-4o-mini,0.95,860.49,2.5e-05,training
ياغالي عندي سؤال لو سمحت هل اقدر ان افعلها وانا في الامارات ؟,Question,gpt-4o-mini,0.95,809.62,2.7e-05,training
اذا اقامتي منتهية اقدر؟,Question,gpt-4o-mini,0.95,831.76,2.5e-05,training
كاعد ادخل رقمي يكلي الرقم غير صحيح ؟؟؟ عراقي ؟؟,Complaint,gpt-4o-mini,0.95,967.26,2.6e-05,training
رد على الاخوان اللي يسألون عن رسوم البطاقه احب اقولهم البطاقه مجانية مدى الحياة حسب ماهو موضح فالتطبيق وبدون رسوم وكذالك محفظة برق هي محفظة رقمية سعودية ولا تعمل الا على رقم تلفون سعودي ،، وشكرا للاخ احمد اللذي قام على اعداد هذا الفيديو الأكثر من رائع واللذي وضح فيه بكل احترافيه جميع مايتعلق بالبطاقه من الاف الي الياء ،، تقبل تحياتي استاذ احمد وبارك الله فيك وفي جهودك 🌹🌹,Praise,gpt-4o-mini,0.95,772.11,4.5e-05,training
bf3a3cb972gcr<br><br><br>كودي الله يسعدكم ويرزقكم يارب,Praise,gpt-4o-mini,0.95,809.62,2.8e-05,training
4d8e49ecdagcr الكود حقي لاتقصرون,Statement,gpt-4o-mini,0.95,733.86,2.6e-05,training
اقدر اطلب من المواقع الاجنبيه زي ايهرب بهذه البطاقة؟,Question,gpt-4o-mini,0.95,655.36,2.6e-05,training
كيف أفعلها بطاقه,Question,gpt-4o-mini,0.95,1002.79,2.5e-05,training
كيف افعل بطاقة,Question,gpt-4o-mini,0.95,826.18,2.4e-05,training
طبعا هذا حاليا لين يجيهم عدد من الناس و ثم فجاة تتغير الشروط والامتيازات ذي و تصير دبل و ثري,Statement,gpt-4o-mini,0.95,669.27,2.9e-05,training
جزاك الله خير وبارك الله فيك,Praise,gpt-4o-mini,0.95,796.75,2.5e-05,training
‏يا جماعة الرد الآلي يتكلم إنجليزي وأنا ما افهم إنجليزي وش الحل😂,Question,gpt-4o-mini,0.95,936.49,2.7e-05,training
هل يمكن التعامل مع هذه البطاقه بالعملات الرقمية ؟؟؟,Question,gpt-4o-mini,0.95,906.97,2.6e-05,training
‏0b03aabab5gcr,Statement,gpt-4o-mini,0.95,752.19,2.8e-05,training
الكود 51396be18bgcr,Statement,gpt-4o-mini,0.95,1383.5,2.5e-05,training
